#Entity   POWER             TOTEC                   TXTPT          RXTPT          GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID         W                 mJ                     KB/            KB/                                                                                                                                                                                                                                                                        
#Entity   POWER             TOTEC                   TXTPT          RXTPT          GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID         W                 mJ                     KB/            KB/                                                                                                                                                                                                                                                                        
GPU 1     27.481            20850326646             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        141088                      85022                       0                           0                           
GPU 0     57.620            22355337691             N/A            N/A            100               0                 1.000        1.000        1.000        0.000        0.000        0.000        0.000        0.000        25515269                    71845866                    0                           0                           
GPU 1     27.481            20850354226             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        122436                      76785                       0                           0                           
GPU 0     57.718            22355396532             N/A            N/A            100               0                 1.000        1.000        1.000        0.000        0.000        0.000        0.000        0.000        25604460                    71819851                    0                           0                           
GPU 1     27.493            20850381798             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        144553                      87532                       0                           0                           
GPU 0     57.522            22355455603             N/A            N/A            100               0                 1.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        24983261                    71826486                    0                           0                           
GPU 1     27.481            20850412108             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        124167                      77544                       0                           0                           
GPU 0     57.522            22355514594             N/A            N/A            100               0                 1.000        1.000        1.000        0.000        0.000        0.000        0.000        0.000        25857827                    72241953                    0                           0                           
GPU 1     27.487            20850439683             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        137424                      83940                       0                           0                           
GPU 0     57.522            22355573710             N/A            N/A            100               0                 1.000        1.000        0.999        0.000        0.000        0.000        0.000        0.000        25044564                    71519510                    0                           0                           
GPU 1     27.493            20850467285             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        118495                      74528                       0                           0                           
GPU 0     57.236            22355632662             N/A            N/A            100               0                 1.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        25160014                    71646366                    0                           0                           
GPU 1     27.487            20850494866             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        132952                      82069                       0                           0                           
GPU 0     57.620            22355691302             N/A            N/A            100               0                 1.000        1.000        1.000        0.000        0.000        0.000        0.000        0.000        25011174                    71546264                    0                           0                           
GPU 1     27.475            20850522447             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        119366                      75134                       0                           0                           
